"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","detect","correct_key","tasknum","practice_accuracy","practice","nback","n","response","BDMquizgrade","slider_start","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"true","fullscreen","0","71834","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","108473","0.0-1.0-0.0-0.0","36633.23500007391","<p>In this experiment, you'll complete up to 12 short rounds of two tasks.</p><p>If you are 80% correct or better during one round of a task, then you pass that round and earn bonus points for it. If you are less than 80% correct, you will not earn any points for that round.</p><p>You can earn 1 to 5 points each round.</p><p>Keep in mind that you should be about 80% accurate for up to 12 rounds.</p><p>At the end of the experiment, the points you earned will be added up and turned into a bonus payment. $$ The more points you earn, the more money you will be paid. $$</p><p>If we can tell that you are not paying attention, then this experiment will end early and you will earn a smaller payment. $$</p><p>[Press space to practice the first task.]</p>","32","instructions","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","115343","0.0-1.0-1.0-0.0-0.0","6869.000000180677","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","130164","0.0-1.0-1.0-1.0-0.0","14819.575000088662","<p>In this task, you will need to press <strong>K</strong> every time you see the target letter <strong>T</strong>. </p><p>You must respond while the letter is on screen or your answer will not count.</p><p> Pay attention! If you are not at least 80% accurate, you will not earn points for completing this round.</p> <p>Press space to begin.</p>","32","instructions","","","","","","","","","","","","","","","","","",""
"","categorize-html","4","131673","0.0-1.0-1.0-2.0-0.0","null","<p>E</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","5","132433","0.0-1.0-1.0-2.0-1.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","6","133947","0.0-1.0-1.0-2.0-2.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","7","134708","0.0-1.0-1.0-2.0-3.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","8","136231","0.0-1.0-1.0-2.0-4.0","null","<p>E</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","9","136996","0.0-1.0-1.0-2.0-5.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","10","137383","0.0-1.0-1.0-2.0-6.0","383.4150000475347","<p>T</p>","75","detection","true","true","75","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","11","138140","0.0-1.0-1.0-2.0-7.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","12","139648","0.0-1.0-1.0-2.0-8.0","null","<p>E</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","13","140404","0.0-1.0-1.0-2.0-9.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","14","141918","0.0-1.0-1.0-2.0-10.0","null","<p>E</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","15","142682","0.0-1.0-1.0-2.0-11.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","16","144203","0.0-1.0-1.0-2.0-12.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","17","144955","0.0-1.0-1.0-2.0-13.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","18","145421","0.0-1.0-1.0-2.0-14.0","462.5549998600036","<p>T</p>","75","detection","true","true","75","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","19","146200","0.0-1.0-1.0-2.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","20","147721","0.0-1.0-1.0-2.0-16.0","null","<p>E</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","21","148475","0.0-1.0-1.0-2.0-17.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","22","149991","0.0-1.0-1.0-2.0-18.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","23","150751","0.0-1.0-1.0-2.0-19.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","159431","0.0-1.0-1.0-3.0","8675.584999844432","<p>Your accuracy was <strong>100.00%</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","100.00","true","","","","","","","","","","","",""
"","html-keyboard-response","25","168629","0.0-1.0-2.0-0.0-0.0","9196.51999999769","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","193305","0.0-1.0-2.0-1.0-0.0","24672.885000007227","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>1</strong> letters ago.</p> <p>If the letter on screen was not the one you saw <strong>1</strong> letters ago, do not press anything.</p><p>Pay attention! If you are not at least 80% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/1-back.png><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","27","194818","0.0-1.0-2.0-2.0-0.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","",""
"","html-keyboard-response","28","195577","0.0-1.0-2.0-2.0-1.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","29","196232","0.0-1.0-2.0-2.0-2.0","651.3499999418855","<p>E</p>","72","n-back","true","","72","-1","","true","true","1","","","","","","","","","",""
"","html-keyboard-response","30","196990","0.0-1.0-2.0-2.0-3.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","31","198508","0.0-1.0-2.0-2.0-4.0","null","<p>E</p>","null","n-back","false","","72","-1","","true","true","1","","","","","","","","","",""
"","html-keyboard-response","32","199273","0.0-1.0-2.0-2.0-5.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","33","200791","0.0-1.0-2.0-2.0-6.0","null","<p>X</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","",""
"","html-keyboard-response","34","201559","0.0-1.0-2.0-2.0-7.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","35","203074","0.0-1.0-2.0-2.0-8.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","",""
"","html-keyboard-response","36","203831","0.0-1.0-2.0-2.0-9.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","37","204284","0.0-1.0-2.0-2.0-10.0","450.2250000368804","<p>R</p>","72","n-back","true","","72","-1","","true","true","1","","","","","","","","","",""
"","html-keyboard-response","38","205038","0.0-1.0-2.0-2.0-11.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","39","206544","0.0-1.0-2.0-2.0-12.0","null","<p>X</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","",""
"","html-keyboard-response","40","207305","0.0-1.0-2.0-2.0-13.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","41","208824","0.0-1.0-2.0-2.0-14.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","",""
"","html-keyboard-response","42","209583","0.0-1.0-2.0-2.0-15.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","43","211098","0.0-1.0-2.0-2.0-16.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","",""
"","html-keyboard-response","44","211871","0.0-1.0-2.0-2.0-17.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","45","212394","0.0-1.0-2.0-2.0-18.0","519.5250001270324","<p>E</p>","72","n-back","true","","72","-1","","true","true","1","","","","","","","","","",""
"","html-keyboard-response","46","213156","0.0-1.0-2.0-2.0-19.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","html-keyboard-response","47","219307","0.0-1.0-2.0-3.0","6149.010000051931","<p>Your accuracy was <strong>90.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","","","","","90.00","true","","","","","","","","","","","",""
"","html-keyboard-response","48","224402","0.0-1.0-3.0-0.0-0.0","5091.864999849349","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","277316","0.0-1.0-3.0-1.0-0.0","52911.85500007123","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>2</strong> letters ago.</p> <p>If the letter on screen was not the one you saw <strong>2</strong> letters ago, do not press anything.</p><p>Pay attention! If you are not at least 80% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/2-back.png><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","50","278822","0.0-1.0-3.0-2.0-0.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","",""
"","html-keyboard-response","51","279583","0.0-1.0-3.0-2.0-1.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","52","281098","0.0-1.0-3.0-2.0-2.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","",""
"","html-keyboard-response","53","281864","0.0-1.0-3.0-2.0-3.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","54","282322","0.0-1.0-3.0-2.0-4.0","454.6149999368936","<p>E</p>","72","n-back","true","","72","-1","","true","true","2","","","","","","","","","",""
"","html-keyboard-response","55","283077","0.0-1.0-3.0-2.0-5.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
