"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","detect","correct_key","task","tasknum","nback","n","practice","practice_accuracy","response","slider_start","stimnum","TOT","overall","performance_by_block"
"132405.12000001036","<p>In this experiment, you will be completing many short rounds of two different tasks.</p><p>You can earn up to 5 points for each round you complete.</p><p>At the end of the experiment, the points you earn will be counted and turned into a bonus payment. $$</p><p>Pay attention! If you are not 80% accurate on each round, you will not earn points for completing that round.</p><p>If we can tell that you are not paying attention, then this experiment will end early and you will earn a smaller payment. $$</p><p>Press space to practice the first task.</p>","32","html-keyboard-response","0","132413","0.0-0.0-0.0-0.0","","","","","","","","","","","","","","",""
"3436.7499998770654","<img src=""./static/img/fractal1.jpg"" width=""250"" height=""250""","32","html-keyboard-response","1","135851","0.0-0.0-1.0-0.0-0.0","","","","","","","","","","","","","","",""
"13345.750000094995","<p>In this task, you will need to press K every time you see the target letter <strong>T</strong>. </p><p>You must respond while the letter is on screen or your answer will not count.</p><p> Pay attention! If you are not 80% accurate, you will not earn points for completing this round.</p> <p>Press space to begin.</p>","32","html-keyboard-response","2","149198","0.0-0.0-1.0-1.0-0.0","","","","","","","","","","","","","","",""
"1218.4600001201034","T","75","categorize-html","3","151174","0.0-0.0-1.0-2.0-0.0","true","true","75","detection","-1","","","","","","","","","",""
"733.3249999210238","T","75","categorize-html","4","152663","0.0-0.0-1.0-2.0-0.1","true","true","75","detection","-1","","","","","","","","","",""
"null","L","null","categorize-html","5","155168","0.0-0.0-1.0-2.0-0.2","false","false","90","detection","-1","","","","","","","","","",""
"null","L","null","categorize-html","6","157673","0.0-0.0-1.0-2.0-0.3","false","false","90","detection","-1","","","","","","","","","",""
"null","L","null","categorize-html","7","160181","0.0-0.0-1.0-2.0-0.4","false","false","90","detection","-1","","","","","","","","","",""
"529.9899999517947","T","75","categorize-html","8","161463","0.0-0.0-1.0-2.0-0.5","true","true","75","detection","-1","","","","","","","","","",""
"null","L","null","categorize-html","9","163967","0.0-0.0-1.0-2.0-0.6","false","false","90","detection","-1","","","","","","","","","",""
"null","L","null","categorize-html","10","166475","0.0-0.0-1.0-2.0-0.7","false","false","90","detection","-1","","","","","","","","","",""
"924.9899999704212","T","75","categorize-html","11","168154","0.0-0.0-1.0-2.0-0.8","true","true","75","detection","-1","","","","","","","","","",""
"null","L","null","categorize-html","12","170662","0.0-0.0-1.0-2.0-0.9","false","false","90","detection","-1","","","","","","","","","",""
"17867.180000059307","<p>Your accuracy was <strong>100.00%</strong>.</p><p>You will need to be 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will NOT receive the same amount of feedback as you did during practice.</p><p>Press the space bar to continue. </p>","32","html-keyboard-response","13","188531","0.0-0.0-1.0-3.0","","","","","","","","","","","","","","",""
"2690.720000071451","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","32","html-keyboard-response","14","191223","0.0-0.0-2.0-0.0-0.0","","","","","","","","","","","","","","",""
"34482.72999981418","<p>In this task, you will need to press H every time you see the same letter you saw <strong>1</strong> trial ago.</p> <p>If the image on screen was not the one you saw 1 trials ago, do not press anything.</p><p>Pay attention! If you are not 80% accurate by the last practice game, you will not progress to the real experiment.</p><p>Press space to begin.</p>","32","html-keyboard-response","15","225706","0.0-0.0-2.0-1.0-0.0","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","16","227965","0.0-0.0-2.0-2.0-0.0","false","","90","n-back","-1","false","1","true","","","","","","",""
"null","<p>R</p>","null","categorize-html","17","230224","0.0-0.0-2.0-2.0-0.1","false","","72","n-back","-1","true","1","true","","","","","","",""
"null","<p>R</p>","null","categorize-html","18","232484","0.0-0.0-2.0-2.0-0.2","false","","72","n-back","-1","true","1","true","","","","","","",""
"null","<p>E</p>","null","categorize-html","19","234742","0.0-0.0-2.0-2.0-0.3","false","","90","n-back","-1","false","1","true","","","","","","",""
"798.6300000920892","<p>E</p>","72","categorize-html","20","236295","0.0-0.0-2.0-2.0-0.4","true","","72","n-back","-1","true","1","true","","","","","","",""
"899.7049999888986","<p>E</p>","72","categorize-html","21","237952","0.0-0.0-2.0-2.0-0.5","true","","72","n-back","-1","true","1","true","","","","","","",""
"null","<p>R</p>","null","categorize-html","22","240211","0.0-0.0-2.0-2.0-0.6","false","","90","n-back","-1","false","1","true","","","","","","",""
"null","<p>E</p>","null","categorize-html","23","242471","0.0-0.0-2.0-2.0-0.7","false","","90","n-back","-1","false","1","true","","","","","","",""
"360.19000015221536","<p>E</p>","72","categorize-html","24","243584","0.0-0.0-2.0-2.0-0.8","true","","72","n-back","-1","true","1","true","","","","","","",""
"null","<p>X</p>","null","categorize-html","25","245842","0.0-0.0-2.0-2.0-0.9","false","","90","n-back","-1","false","1","true","","","","","","",""
"16996.749999932945","<p>Your accuracy was <strong>93.00%</strong>.</p><p>You will need to be 80% accurate during the study to earn points.</p><p>Please remember that you will not receive the same amount of feedback during the real experiment.</p><p>Press the space bar to continue.</p>","32","html-keyboard-response","26","262840","0.0-0.0-2.0-3.0","","","","","","","","","","","","","","",""
"2356.754999840632","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","32","html-keyboard-response","27","265198","0.0-0.0-3.0-0.0-0.0","","","","","","","","","","","","","","",""
"14151.80499991402","<p>In this task, you will need to press H every time you see the same letter you saw <strong>2</strong> trials ago.</p> <p>If the image on screen was not the one you saw 2 trials ago, do not press anything.</p><p>Pay attention! If you are not 80% accurate by the last practice game, you will not progress to the real experiment.</p><p>Press space to begin.</p>","32","html-keyboard-response","28","279350","0.0-0.0-3.0-1.0-0.0","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","29","281606","0.0-0.0-3.0-2.0-0.0","false","","90","n-back","-1","false","2","true","","","","","","",""
"null","<p>E</p>","null","categorize-html","30","283864","0.0-0.0-3.0-2.0-0.1","false","","90","n-back","-1","false","2","true","","","","","","",""
"null","<p>E</p>","null","categorize-html","31","286122","0.0-0.0-3.0-2.0-0.2","false","","90","n-back","-1","false","2","true","","","","","","",""
"973.6599999014288","<p>E</p>","72","categorize-html","32","287851","0.0-0.0-3.0-2.0-0.3","true","","72","n-back","-1","true","2","true","","","","","","",""
"null","<p>X</p>","null","categorize-html","33","290110","0.0-0.0-3.0-2.0-0.4","false","","90","n-back","-1","false","2","true","","","","","","",""
"null","<p>X</p>","null","categorize-html","34","292363","0.0-0.0-3.0-2.0-0.5","false","","90","n-back","-1","false","2","true","","","","","","",""
"423.84500009939075","<p>X</p>","72","categorize-html","35","293542","0.0-0.0-3.0-2.0-0.6","true","","72","n-back","-1","true","2","true","","","","","","",""
"null","<p>E</p>","null","categorize-html","36","295801","0.0-0.0-3.0-2.0-0.7","false","","90","n-back","-1","false","2","true","","","","","","",""
"null","<p>E</p>","null","categorize-html","37","298057","0.0-0.0-3.0-2.0-0.8","false","","90","n-back","-1","false","2","true","","","","","","",""
"329.2749999091029","<p>E</p>","72","categorize-html","38","299143","0.0-0.0-3.0-2.0-0.9","true","","72","n-back","-1","true","2","true","","","","","","",""
"2318.345000036061","<p>Your accuracy was <strong>100.00%</strong>.</p><p>You will need to be 80% accurate during the study to earn points.</p><p>Please remember that you will not receive the same amount of feedback during the real experiment.</p><p>Press the space bar to continue.</p>","32","html-keyboard-response","39","301463","0.0-0.0-3.0-3.0","","","","","","","","","","","","","","",""
"8838.615000015125","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","32","html-keyboard-response","40","310302","0.0-0.0-4.0-0.0-0.0","","","","","","","","","","","","","","",""
"5214.574999874458","<p>In this task, you will need to press H every time you see the same letter you saw <strong>3</strong> trials ago.</p> <p>If the image on screen was not the one you saw 3 trials ago, do not press anything.</p><p>Pay attention! If you are not 80% accurate by the last practice game, you will not progress to the real experiment.</p><p>Press space to begin.</p>","32","html-keyboard-response","41","315517","0.0-0.0-4.0-1.0-0.0","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","categorize-html","42","317775","0.0-0.0-4.0-2.0-0.0","false","","90","n-back","-1","false","3","true","","","","","","",""
"null","<p>E</p>","null","categorize-html","43","320035","0.0-0.0-4.0-2.0-0.1","false","","90","n-back","-1","false","3","true","","","","","","",""
"null","<p>X</p>","null","categorize-html","44","322292","0.0-0.0-4.0-2.0-0.2","false","","90","n-back","-1","false","3","true","","","","","","",""
"588.3150000590831","<p>E</p>","72","categorize-html","45","323632","0.0-0.0-4.0-2.0-0.3","true","","72","n-back","-1","true","3","true","","","","","","",""
"null","<p>X</p>","null","categorize-html","46","325888","0.0-0.0-4.0-2.0-0.4","false","","90","n-back","-1","false","3","true","","","","","","",""
"969.0500001888722","<p>X</p>","72","categorize-html","47","327610","0.0-0.0-4.0-2.0-0.5","true","","72","n-back","-1","true","3","true","","","","","","",""
"905.8649998623878","<p>E</p>","72","categorize-html","48","329272","0.0-0.0-4.0-2.0-0.6","true","","72","n-back","-1","true","3","true","","","","","","",""
"null","<p>R</p>","null","categorize-html","49","331527","0.0-0.0-4.0-2.0-0.7","false","","90","n-back","-1","false","3","true","","","","","","",""
