"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","switch","rule","stimnum","prob_switch","correct_key","tasknum","practice","practice_accuracy","number_practice_combines","response","BDMquizgrade","task_displayed","slider_start","responses","question_order","TOT","overall","performance_by_block","points_list","value_list","offer_list","exp_version"
"true","fullscreen","0","4455","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","75076","0.0-1.0-0.0-0.0","70612.82999999821","<p>In this experiment, you'll complete up to 12 short rounds of two tasks.</p><p>If you are 80% correct or better during one round of a task, then you pass that round and earn bonus points for it. If you are less than 80% correct, you will not earn any points for that round.</p><p>You can earn 1 to 5 points each round.</p><p>Keep in mind that you should be about 80% accurate for up to 12 rounds.</p><p>At the end of the experiment, the points you earned will be added up and turned into a bonus payment. $$ The more points you earn, the more money you will be paid. $$</p><p>If we can tell that you are not paying attention, then this experiment will end early and you will earn a smaller payment. $$</p><p>[Press space to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","112208","0.0-1.0-1.0-0.0-0.0","37129.53999999445","<p>In this task, you will need to follow different rules depending on the color of the numbers on screen.</p><p style=""color: green"">If the number is green, you will need to respond to its magnitude (less than or greater than 5?).</p><p style=""color: blue"">If the number is blue, you will need to respond to its parity (even or odd?).</p><p>Let's practice responding to these rules, one at a time.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","120908","0.0-1.0-1.0-1.0-0.0-0.0","8697.314999997616","<p>On the next screen, please respond to the magnitude (less than or greater than 5?) of the numbers on screen.</p><p>Press <strong>S</strong> if the number is <5.</p><p>Press <strong>F</strong> if the number is >5.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","4","122417","0.0-1.0-1.0-1.0-1.0-0.0","null","<p style=""color: green"">7</p>","null","n-switch","false","false","1","5","0","70","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","123181","0.0-1.0-1.0-1.0-1.0-1.0","216.59500000532717","Please respond in time!","83","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","6","123721","0.0-1.0-1.0-1.0-1.0-2.0","535.730000003241","<p style=""color: green"">3</p>","83","n-switch","true","false","1","2","0","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","124479","0.0-1.0-1.0-1.0-1.0-3.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","8","125135","0.0-1.0-1.0-1.0-1.0-4.0","652.9099999752361","<p style=""color: green"">3</p>","70","n-switch","false","false","1","2","0","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","125904","0.0-1.0-1.0-1.0-1.0-5.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","10","126696","0.0-1.0-1.0-1.0-1.0-6.0","788.574999984121","<p style=""color: green"">7</p>","70","n-switch","true","false","1","5","0","70","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","127464","0.0-1.0-1.0-1.0-1.0-7.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","12","128078","0.0-1.0-1.0-1.0-1.0-8.0","610.3199999779463","<p style=""color: green"">1</p>","83","n-switch","true","false","1","0","0","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","128832","0.0-1.0-1.0-1.0-1.0-9.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","14","129483","0.0-1.0-1.0-1.0-1.0-10.0","647.1249999885913","<p style=""color: green"">9</p>","70","n-switch","true","false","1","7","0","70","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","130250","0.0-1.0-1.0-1.0-1.0-11.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","16","130807","0.0-1.0-1.0-1.0-1.0-12.0","553.9749999879859","<p style=""color: green"">1</p>","83","n-switch","true","false","1","0","0","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","131571","0.0-1.0-1.0-1.0-1.0-13.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","18","132525","0.0-1.0-1.0-1.0-1.0-14.0","950.0849999894854","<p style=""color: green"">4</p>","83","n-switch","true","false","1","3","0","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","133294","0.0-1.0-1.0-1.0-1.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","139709","0.0-1.0-1.0-1.0-2.0","6411.015000019688","<p>You were <strong>75% accurate</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","75","","","","","","","","","","","","","",""
"","html-keyboard-response","21","150751","0.0-1.0-1.0-2.0-0.0-0.0","11039.510000002338","<p>On the next screen, please respond to the parity (even or odd?) of the numbers on screen.</p><p>Press <strong>H</strong> if the number is even.</p><p>Press <strong>K</strong> if the number is odd.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","22","151746","0.0-1.0-1.0-2.0-1.0-0.0","991.2900000053924","<p style=""color: blue"">1</p>","72","n-switch","false","false","2","0","0","75","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","152507","0.0-1.0-1.0-2.0-1.0-1.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","24","153512","0.0-1.0-1.0-2.0-1.0-2.0","1000.8099999977276","<p style=""color: blue"">2</p>","75","n-switch","false","false","2","1","0","72","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","154277","0.0-1.0-1.0-2.0-1.0-3.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","26","155782","0.0-1.0-1.0-2.0-1.0-4.0","null","<p style=""color: blue"">3</p>","null","n-switch","false","false","2","2","0","75","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","156544","0.0-1.0-1.0-2.0-1.0-5.0","null","Please respond in time!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","28","157972","0.0-1.0-1.0-2.0-1.0-6.0","1419.4100000022445","<p style=""color: blue"">4</p>","72","n-switch","true","false","2","3","0","72","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","158736","0.0-1.0-1.0-2.0-1.0-7.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","30","159708","0.0-1.0-1.0-2.0-1.0-8.0","968.5449999815319","<p style=""color: blue"">2</p>","72","n-switch","true","false","2","1","0","72","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","160469","0.0-1.0-1.0-2.0-1.0-9.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","32","161065","0.0-1.0-1.0-2.0-1.0-10.0","588.225000014063","<p style=""color: blue"">3</p>","75","n-switch","true","false","2","2","0","75","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","33","161820","0.0-1.0-1.0-2.0-1.0-11.0","641.0000000032596","Correct!","75","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","34","162535","0.0-1.0-1.0-2.0-1.0-12.0","711.1750000040047","<p style=""color: blue"">2</p>","72","n-switch","true","false","2","1","0","72","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","35","163299","0.0-1.0-1.0-2.0-1.0-13.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","36","164644","0.0-1.0-1.0-2.0-1.0-14.0","1340.2050000149757","<p style=""color: blue"">9</p>","75","n-switch","true","false","2","7","0","75","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","165403","0.0-1.0-1.0-2.0-1.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","178508","0.0-1.0-1.0-2.0-2.0","13102.734999993118","<p>You were <strong>62.5% accurate</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","62.5","","","","","","","","","","","","","",""
"","html-keyboard-response","39","188357","0.0-1.0-1.0-3.0-0.0-0.0","9847.08999999566","<img src=""./static/img/fractal4.png"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","202114","0.0-1.0-1.0-3.0-1.0-0.0","13754.235000000335","<p>Now, you will be responding to both rules, one at a time, depending on the color of the number on screen.</p><p>You will use four different keys, <strong>S, F, H, and K</strong> to respond.</p><p style=""color: green"">If the number is green, you will need to respond to its parity (even or odd?).</p><p style=""color: blue"">If the number is blue, you will need to respond to its magnitude (less than or greater than 5?).</p><p>Press the space bar to practice this task.</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","41","203622","0.0-1.0-1.0-3.0-2.0-0.0","null","<p style=""color: green"">8</p>","null","n-switch","false","false","1","6","0.1","70","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","42","204376","0.0-1.0-1.0-3.0-2.0-1.0","null","Please respond in time!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","43","205890","0.0-1.0-1.0-3.0-2.0-2.0","null","<p style=""color: green"">9</p>","null","n-switch","false","false","1","7","0.1","70","-1","true","","","","","","","","","","","","","","",""
