"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","switch","rule","stimnum","prob_switch","correct_key","tasknum","practice","practice_accuracy","response","BDMquizgrade","task_displayed","slider_start","responses","question_order","TOT","overall","performance_by_block","points_list","value_list","offer_list","exp_version"
"true","fullscreen","0","2907","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","3712","0.0-1.0-0.0-0.0","800.965000060387","<p>In this experiment, you'll complete up to 12 short rounds of two tasks.</p><p>If you are 80% correct or better during one round of a task, then you pass that round and earn bonus points for it. If you are less than 80% correct, you will not earn any points for that round.</p><p>You can earn 1 to 5 points each round.</p><p>Keep in mind that you should be about 80% accurate for up to 12 rounds.</p><p>At the end of the experiment, the points you earned will be added up and turned into a bonus payment. $$ The more points you earn, the more money you will be paid. $$</p><p>We can tell if you're not paying attention; if you're not, then this experiment will end early and you will earn a smaller payment. $$</p><p>[Press space to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","11621","0.0-1.0-1.0-0.0-0.0","7905.42500000447","<p>In this task, you will need to follow different rules depending on the color of the numbers on screen.</p><p style=""color: red"">If the number is red, you will need to respond to its magnitude (less than or greater than 5?).</p><p style=""color: blue"">If the number is blue, you will need to respond to its parity (even or odd?).</p><p>Let's practice responding to these rules, one at a time.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","12712","0.0-1.0-1.0-1.0-0.0-0.0","1088.7499999953434","<p>Let's practice following the parity (even or odd?) rule.</p><p>On the next screen, please respond to the parity (even or odd?) of the numbers on screen.</p><p>Press <strong>S</strong> if the number is even.</p><p>Press <strong>F</strong> if the number is odd.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","4","13622","0.0-1.0-1.0-1.0-1.0-0.0","903.6950001027435","<p style=""color: blue"">6</p>","70","n-switch","false","false","2","4","0","83","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","5","14376","0.0-1.0-1.0-1.0-1.0-1.0","144.72500002011657","Incorrect!","83","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","6","14832","0.0-1.0-1.0-1.0-1.0-2.0","452.44999998249114","<p style=""color: blue"">9</p>","70","n-switch","true","false","2","7","0","70","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","7","15588","0.0-1.0-1.0-1.0-1.0-3.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","8","16081","0.0-1.0-1.0-1.0-1.0-4.0","488.9449999900535","<p style=""color: blue"">8</p>","83","n-switch","true","false","2","6","0","83","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","9","16835","0.0-1.0-1.0-1.0-1.0-5.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
