"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","switch","rule","stimnum","prob_switch","correct_key","tasknum","practice","practice_accuracy","number_practice_combines","response","BDMquizgrade","task_displayed","slider_start","responses","question_order","TOT","overall","performance_by_block","points_list","value_list","offer_list","exp_version","n_switch_rule_sides"
"true","fullscreen","0","52654","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","140240","0.0-1.0-0.0-0.0","87581.25500002643","<p>In this experiment, you'll complete up to 12 short rounds of two tasks.</p><p>If you are 80% correct or better during one round of a task, then you pass that round and earn bonus points for it. If you are less than 80% correct, you will not earn any points for that round.</p><p>You can earn 1 to 5 points each round.</p><p>Keep in mind that you should be about 80% accurate for up to 12 rounds.</p><p>At the end of the experiment, the points you earned will be added up and turned into a bonus payment. $$ The more points you earn, the more money you will be paid. $$</p><p>We can tell if you're not paying attention; if you're not, then this experiment will end early and you will earn a smaller payment. $$</p><p>[Press space to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","168586","0.0-1.0-1.0-0.0-0.0","28342.554999981076","<p>In this task, you will need to follow different rules depending on the color of the numbers on screen.</p><p style=""color: blue"">If the number is blue, you will need to respond to its magnitude (less than or greater than 5?).</p><p style=""color: red"">If the number is red, you will need to respond to its parity (even or odd?).</p><p>Let's practice responding to these rules, one at a time.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","188844","0.0-1.0-1.0-1.0-0.0-0.0","20256.324999965727","<p>Let's practice following the magnitude (less than or greater than 5?) rule.</p><p>On the next screen, please respond to the magnitude (less than or greater than 5?) of the numbers on screen.</p><p>Press <strong>S</strong> if the number is smaller.</p><p>Press <strong>F</strong> if the number is larger.</p><p>You will have 1500 milliseconds to respond to each number. Try to respond as quickly as you can.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","4","190055","0.0-1.0-1.0-1.0-1.0-0.0","1206.2000000150874","<p style=""color: blue"">6</p>","70","n-switch","true","false","1","4","0","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","190807","0.0-1.0-1.0-1.0-1.0-1.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","6","191539","0.0-1.0-1.0-1.0-1.0-2.0","728.6800000001676","<p style=""color: blue"">3</p>","83","n-switch","true","false","1","2","0","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","192291","0.0-1.0-1.0-1.0-1.0-3.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","8","192910","0.0-1.0-1.0-1.0-1.0-4.0","616.4100000169128","<p style=""color: blue"">9</p>","70","n-switch","true","false","1","7","0","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","193662","0.0-1.0-1.0-1.0-1.0-5.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","10","194036","0.0-1.0-1.0-1.0-1.0-6.0","370.62000000150874","<p style=""color: blue"">9</p>","70","n-switch","true","false","1","7","0","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","194788","0.0-1.0-1.0-1.0-1.0-7.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","12","195250","0.0-1.0-1.0-1.0-1.0-8.0","457.98000000650063","<p style=""color: blue"">4</p>","83","n-switch","true","false","1","3","0","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","196002","0.0-1.0-1.0-1.0-1.0-9.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","14","196569","0.0-1.0-1.0-1.0-1.0-10.0","564.1300000133924","<p style=""color: blue"">7</p>","70","n-switch","true","false","1","5","0","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","197321","0.0-1.0-1.0-1.0-1.0-11.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","16","197789","0.0-1.0-1.0-1.0-1.0-12.0","464.51999997952953","<p style=""color: blue"">1</p>","83","n-switch","true","false","1","0","0","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","198541","0.0-1.0-1.0-1.0-1.0-13.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","18","198981","0.0-1.0-1.0-1.0-1.0-14.0","436.62499997299165","<p style=""color: blue"">8</p>","70","n-switch","true","false","1","6","0","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","199732","0.0-1.0-1.0-1.0-1.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","204237","0.0-1.0-1.0-1.0-2.0","4497.349999961443","<p>You were <strong>100% accurate</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","100","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","234239","0.0-1.0-1.0-2.0-0.0-0.0","null","<p>Let's practice following the parity (even or odd?) rule.</p><p>On the next screen, please respond to the parity (even or odd?) of the numbers on screen.</p><p>Press <strong>H</strong> if the number is even.</p><p>Press <strong>K</strong> if the number is odd.</p><p>You will have 1500 milliseconds to respond to each number. Try to respond as quickly as you can.</p><p>[Press the space bar to continue.]</p>","null","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","22","235745","0.0-1.0-1.0-2.0-1.0-0.0","null","<p style=""color: red"">3</p>","null","n-switch","false","false","2","2","0","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","236498","0.0-1.0-1.0-2.0-1.0-1.0","null","Please respond in time!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","24","238005","0.0-1.0-1.0-2.0-1.0-2.0","null","<p style=""color: red"">7</p>","null","n-switch","false","false","2","5","0","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","238758","0.0-1.0-1.0-2.0-1.0-3.0","null","Please respond in time!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","26","240266","0.0-1.0-1.0-2.0-1.0-4.0","null","<p style=""color: red"">4</p>","null","n-switch","false","false","2","3","0","72","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","241019","0.0-1.0-1.0-2.0-1.0-5.0","null","Please respond in time!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","28","241997","0.0-1.0-1.0-2.0-1.0-6.0","974.4899999932386","<p style=""color: red"">6</p>","74","n-switch","false","false","2","4","0","72","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","242749","0.0-1.0-1.0-2.0-1.0-7.0","null","Please press H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","30","243416","0.0-1.0-1.0-2.0-1.0-8.0","662.624999997206","<p style=""color: red"">1</p>","76","n-switch","false","false","2","0","0","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","244169","0.0-1.0-1.0-2.0-1.0-9.0","null","Please press H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","32","244711","0.0-1.0-1.0-2.0-1.0-10.0","538.7299999711104","<p style=""color: red"">3</p>","74","n-switch","false","false","2","2","0","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","33","245464","0.0-1.0-1.0-2.0-1.0-11.0","null","Please press H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","34","246209","0.0-1.0-1.0-2.0-1.0-12.0","742.0699999784119","<p style=""color: red"">6</p>","74","n-switch","false","false","2","4","0","72","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","35","246962","0.0-1.0-1.0-2.0-1.0-13.0","null","Please press H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","36","247705","0.0-1.0-1.0-2.0-1.0-14.0","738.5349999531172","<p style=""color: red"">7</p>","76","n-switch","false","false","2","5","0","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","248457","0.0-1.0-1.0-2.0-1.0-15.0","null","Please press H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","255199","0.0-1.0-1.0-2.0-2.0","6740.129999991041","<p>You were <strong>0% accurate</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","0","","","","","","","","","","","","","","",""
"","html-keyboard-response","39","266895","0.0-1.0-1.0-3.0-0.0-0.0","11693.609999958426","<img src=""./static/img/fractal4.png"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","288801","0.0-1.0-1.0-3.0-1.0-0.0","21903.980000002775","<p>Now, let's practice responding to both rules.</p><p>You will be responding to both rules, one at a time, depending on the color of the number on screen.</p><p>You will use four different keys, <strong>S, F, H, and K</strong> to respond.</p><p style=""color: blue"">If the number is blue, you will need to respond to its magnitude (less than or greater than 5?).</p><p style=""color: red"">If the number is red, you will need to respond to its parity (even or odd?).</p><p>Press the space bar to practice this task.</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","41","290305","0.0-1.0-1.0-3.0-2.0-0.0","null","<p style=""color: blue"">9</p>","null","n-switch","false","false","1","7","0.9","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","42","291059","0.0-1.0-1.0-3.0-2.0-1.0","null","Please respond in time!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","43","292164","0.0-1.0-1.0-3.0-2.0-2.0","1101.4999999897555","<p style=""color: blue"">3</p>","65","n-switch","false","false","1","2","0.9","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","44","292917","0.0-1.0-1.0-3.0-2.0-3.0","null","Please press S, F, H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","45","294082","0.0-1.0-1.0-3.0-2.0-4.0","1161.5299999830313","<p style=""color: blue"">1</p>","68","n-switch","false","false","1","0","0.9","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","294834","0.0-1.0-1.0-3.0-2.0-5.0","null","Please press S, F, H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","47","295303","0.0-1.0-1.0-3.0-2.0-6.0","465.8549999585375","<p style=""color: blue"">2</p>","65","n-switch","false","false","1","1","0.9","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","296057","0.0-1.0-1.0-3.0-2.0-7.0","null","Please press S, F, H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","49","297294","0.0-1.0-1.0-3.0-2.0-8.0","1234.1999999480322","<p style=""color: red"">3</p>","75","n-switch","true","true","2","2","0.9","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","298047","0.0-1.0-1.0-3.0-2.0-9.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
