"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","detect","correct_key","task","tasknum","training_performance","nback","n","practice","practice_accuracy","response","slider_start","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"89670.95999978483","<p>In this experiment, you will be completing many short rounds of two different tasks.</p><p>You can earn up to 5 points for each round you complete.</p><p>At the end of the experiment, the points you earn will be counted and turned into a bonus payment. $$</p><p>Pay attention! If you are not 80% accurate on each round, you will not earn points for completing that round.</p><p>If we can tell that you are not paying attention, then this experiment will end early and you will earn a smaller payment. $$</p><p>Press space to practice the first task.</p>","32","html-keyboard-response","0","89679","0.0-0.0-0.0-0.0","","","","","","","","","","","","","","","","","","",""
"2158.724999986589","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","32","html-keyboard-response","1","91839","0.0-0.0-1.0-0.0-0.0","","","","","","","","","","","","","","","","","","",""
"18114.969999995083","<p>In this task, you will need to press <strong>H</strong> every time you see the target letter <strong>T</strong>. </p><p>You must respond while the letter is on screen or your answer will not count.</p><p> Pay attention! If you are not at least 80% accurate, you will not earn points for completing this round.</p> <p>Press space to begin.</p>","32","html-keyboard-response","2","109956","0.0-0.0-1.0-1.0-0.0","","","","","","","","","","","","","","","","","","",""
"588.3949999697506","<p>T</p>","72","categorize-html","3","110554","0.0-0.0-1.0-2.0-0.0","true","true","72","detection","-1","","","","","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","4","111314","0.0-0.0-1.0-2.0-1.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>L</p>","null","categorize-html","5","112818","0.0-0.0-1.0-2.0-2.0","false","false","90","detection","-1","","","","","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","6","113573","0.0-0.0-1.0-2.0-3.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>L</p>","null","categorize-html","7","115085","0.0-0.0-1.0-2.0-4.0","false","false","90","detection","-1","","","","","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","8","115837","0.0-0.0-1.0-2.0-5.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>L</p>","null","categorize-html","9","117353","0.0-0.0-1.0-2.0-6.0","false","false","90","detection","-1","","","","","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","10","118106","0.0-0.0-1.0-2.0-7.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>L</p>","null","categorize-html","11","119623","0.0-0.0-1.0-2.0-8.0","false","false","90","detection","-1","","","","","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","12","120377","0.0-0.0-1.0-2.0-9.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>L</p>","null","categorize-html","13","121885","0.0-0.0-1.0-2.0-10.0","false","false","90","detection","-1","","","","","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","14","122637","0.0-0.0-1.0-2.0-11.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>L</p>","null","categorize-html","15","124151","0.0-0.0-1.0-2.0-12.0","false","false","90","detection","-1","","","","","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","16","124905","0.0-0.0-1.0-2.0-13.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>L</p>","null","categorize-html","17","126416","0.0-0.0-1.0-2.0-14.0","false","false","90","detection","-1","","","","","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","18","127168","0.0-0.0-1.0-2.0-15.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>L</p>","null","categorize-html","19","128678","0.0-0.0-1.0-2.0-16.0","false","false","90","detection","-1","","","","","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","20","129433","0.0-0.0-1.0-2.0-17.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>L</p>","null","categorize-html","21","130946","0.0-0.0-1.0-2.0-18.0","false","false","90","detection","-1","","","","","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","22","131703","0.0-0.0-1.0-2.0-19.0","","","","feedback","","","","","","","","","","","","","","",""
"14747.169999871403","<p>Your accuracy was <strong>100.00%</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive feedback like you did during practice.</p><p>Press the space bar to continue. </p>","32","html-keyboard-response","23","146452","0.0-0.0-1.0-3.0","","","","","","100.00","","","","","","","","","","","","",""
