"rt","stimulus","key_press","task","trial_type","trial_index","time_elapsed","internal_node_id","correct","detect","correct_key","tasknum","training_performance","nback","n","practice","practice_accuracy","response","slider_start","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"101848.58500026166","<p>In this experiment, you'll complete up to 12 short rounds of two tasks.</p><p>If you are 85% correct or better during one round of a task, then you pass that round and earn bonus points for it. If you are less than 85% correct, you will not earn any points for that round.</p><p>You can earn 1 to 5 points each round.</p><p>Keep in mind that you have to maintain this level of performance or better for up to 12 rounds.</p><p>At the end of the experiment, the points you earned will be added up and turned into a bonus payment. $$ The more points you earn, the more money you will be paid. $$</p><p>If we can tell that you are not paying attention, then this experiment will end early and you will earn a smaller payment. $$</p><p>Press space to practice the first task.</p>","32","instructions","html-keyboard-response","0","101856","0.0-0.0-0.0-0.0","","","","","","","","","","","","","","","","","",""
"2711.684999987483","<img src=""./static/img/fractal1.jpg"" width=""250"" height=""250""","32","","html-keyboard-response","1","104570","0.0-0.0-1.0-0.0-0.0","","","","","","","","","","","","","","","","","",""
"14162.440000101924","<p>In this task, you will need to press <strong>K</strong> every time you see the target letter <strong>T</strong>. </p><p>You must respond while the letter is on screen or your answer will not count.</p><p> Pay attention! If you are not at least 85% accurate, you will not earn points for completing this round.</p> <p>Press space to begin.</p>","32","instructions","html-keyboard-response","2","118736","0.0-0.0-1.0-1.0-0.0","","","","","","","","","","","","","","","","","",""
"641.9700002297759","<p>E</p>","75","detection","categorize-html","3","119385","0.0-0.0-1.0-2.0-0.0","false","false","90","-1","","","","","","","","","","","","","",""
"null","Not a match! Press nothing.","null","feedback","html-keyboard-response","4","120150","0.0-0.0-1.0-2.0-1.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","detection","categorize-html","5","121670","0.0-0.0-1.0-2.0-2.0","false","false","90","-1","","","","","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","6","122431","0.0-0.0-1.0-2.0-3.0","","","","","","","","","","","","","","","","","",""
"436.5850002504885","<p>T</p>","75","detection","categorize-html","7","122871","0.0-0.0-1.0-2.0-4.0","true","true","75","-1","","","","","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","8","123628","0.0-0.0-1.0-2.0-5.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","detection","categorize-html","9","125134","0.0-0.0-1.0-2.0-6.0","false","false","90","-1","","","","","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","10","125895","0.0-0.0-1.0-2.0-7.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","detection","categorize-html","11","127405","0.0-0.0-1.0-2.0-8.0","false","false","90","-1","","","","","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","12","128169","0.0-0.0-1.0-2.0-9.0","","","","","","","","","","","","","","","","","",""
"398.52000027894974","<p>T</p>","75","detection","categorize-html","13","128571","0.0-0.0-1.0-2.0-10.0","true","true","75","-1","","","","","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","14","129325","0.0-0.0-1.0-2.0-11.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","detection","categorize-html","15","130836","0.0-0.0-1.0-2.0-12.0","false","false","90","-1","","","","","","","","","","","","","",""
