"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","stimulus","task","tasknum","slider_start","key_press","nback","correct_key","detect","n","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"true","fullscreen","0","2166","0.0-0.0","","","","","","","","","","","","","","","","","",""
"","html-slider-response","1","15297","0.0-1.0-0.0-0.0","13125.565000344068","28","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","BDM","0","0","","","","","","","","","","","",""
"","html-keyboard-response","2","21922","0.0-1.0-1.0-0.0","6622.070000041276","","<p style='font-size':25px> You want <strong> 2.12 </strong> points. </p> <p style='font-size':25px> The computer offers <strong>4.76</strong> points. </p><p style='font-size':25px> You will be given 4.76 points if you achieve at least 85% accuracy on this task. </p><img src=""./static/img/fractal2.png"" width=""250"" height=""250"" location='center'></img><p style='font-size':25 px> Press the space bar to continue. </p>","","","","32","","","","","","","","","","",""
"","html-keyboard-response","3","22024","0.0-1.0-2.0-0.0","null","","+","","","","null","","","","","","","","","","",""
"","html-keyboard-response","4","33966","0.0-1.0-2.0-1.0-0.0","11941.740000154823","","<p>In this task, you will need to press <strong>K</strong> every time you see the same letter you saw 3 trials ago.</p> <p>If the image on screen was not the one you saw 3 trials ago, do not press anything.</p><p>If you see a T, press <strong>H</strong> as fast as you can.</p><p>Pay attention! If you are not at least 85% accurate, you will not earn points for completing this task.</p> <p>Press space to begin.</p>","","","","32","","","","","","","","","","",""
"","html-keyboard-response","5","35477","0.0-1.0-2.0-2.0-0.0","null","","<p>T</p>","combine","0","","null","0","72","true","3","","","","","","",""
"","html-keyboard-response","6","36988","0.0-1.0-2.0-2.0-0.1","194.85499989241362","","<p>X</p>","combine","0","","72","0","90","false","3","","","","","","",""
"","html-keyboard-response","7","38499","0.0-1.0-2.0-2.0-0.2","null","","<p>R</p>","combine","0","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","8","40008","0.0-1.0-2.0-2.0-0.3","749.5450000278652","","<p>T</p>","combine","0","","72","0","75","true","3","","","","","","",""
"","html-keyboard-response","9","41523","0.0-1.0-2.0-2.0-0.4","null","","<p>T</p>","combine","0","","null","0","72","true","3","","","","","","",""
"","html-keyboard-response","10","43038","0.0-1.0-2.0-2.0-0.5","null","","<p>X</p>","combine","0","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","11","44540","0.0-1.0-2.0-2.0-0.6","null","","<p>X</p>","combine","0","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","12","46055","0.0-1.0-2.0-2.0-0.7","749.5699999853969","","<p>R</p>","combine","0","","72","0","90","false","3","","","","","","",""
"","html-keyboard-response","13","47571","0.0-1.0-2.0-2.0-0.8","1225.4749997518957","","<p>X</p>","combine","0","","72","1","75","false","3","","","","","","",""
"","html-keyboard-response","14","49082","0.0-1.0-2.0-2.0-0.9","1249.7349996119738","","<p>X</p>","combine","0","","72","1","75","false","3","","","","","","",""
"","html-keyboard-response","15","50587","0.0-1.0-2.0-2.0-0.10","null","","<p>R</p>","combine","0","","null","1","75","false","3","","","","","","",""
"","html-keyboard-response","16","52102","0.0-1.0-2.0-2.0-0.11","755.4799998179078","","<p>X</p>","combine","0","","72","1","75","false","3","","","","","","",""
"","html-keyboard-response","17","53617","0.0-1.0-2.0-2.0-0.12","558.3199998363853","","<p>T</p>","combine","0","","75","0","72","true","3","","","","","","",""
"","html-keyboard-response","18","55119","0.0-1.0-2.0-2.0-0.13","null","","<p>E</p>","combine","0","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","19","56635","0.0-1.0-2.0-2.0-0.14","null","","<p>E</p>","combine","0","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","20","58485","0.0-1.0-2.0-3.0","1857.520000077784","","<p style='font-size:25px'>You were not accurate enough. You earned 0 points.</p> </p><p style='font-size:25px'>Press the space bar to continue. </p>","","","","32","","","","","","","","","","",""
"","html-slider-response","21","87191","0.0-1.0-4.0-0.0","28703.449999913573","76","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","BDM","1","0","","","","","","","","","","","",""
"","html-keyboard-response","22","89688","0.0-1.0-5.0-0.0","2494.4549999199808","","<p style='font-size':25px> You want <strong> 4.04 </strong> points. </p> <p style='font-size':25px> The computer offers <strong>3.48</strong> points. </p><p style='font-size':25px> You will do the following task instead to earn 1 point. </p> <img src=""./static/img/fractal1.jpg"" width=""250"" height=""250"" location='center'></img><p style='font-size':25 px> Press the space bar to continue. </p>","","","","32","","","","","","","","","","",""
"","html-keyboard-response","23","89792","0.0-1.0-7.0-0.0","null","","+","","","","null","","","","","","","","","","",""
"","html-keyboard-response","24","106329","0.0-1.0-7.0-1.0-0.0","16535.91000009328","","<p>In this task, you will need to press <strong>H</strong> every time you see the target letter <strong>T</strong>. </p><p>You must respond while the letter is on screen or your answer will not count.</p><p> Pay attention! If you are not at least 85% accurate, you will not earn points for completing this task.</p> <p>Press space to begin.</p>","instructions","","","32","","","","","","","","","","",""
"","html-keyboard-response","25","107834","0.0-1.0-7.0-2.0-0.0","null","","<p>X</p>","detection","1","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","26","109341","0.0-1.0-7.0-2.0-0.1","null","","<p>E</p>","detection","1","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","27","110843","0.0-1.0-7.0-2.0-0.2","null","","<p>E</p>","detection","1","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","28","112344","0.0-1.0-7.0-2.0-0.3","null","","<p>E</p>","detection","1","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","29","113845","0.0-1.0-7.0-2.0-0.4","null","","<p>E</p>","detection","1","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","30","115347","0.0-1.0-7.0-2.0-0.5","null","","<p>E</p>","detection","1","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","31","116849","0.0-1.0-7.0-2.0-0.6","null","","<p>R</p>","detection","1","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","32","118364","0.0-1.0-7.0-2.0-0.7","388.3650000207126","","<p>T</p>","detection","1","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","33","119882","0.0-1.0-7.0-2.0-0.8","658.8200000114739","","<p>T</p>","detection","1","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","34","121390","0.0-1.0-7.0-2.0-0.9","null","","<p>R</p>","detection","1","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","35","122899","0.0-1.0-7.0-2.0-0.10","470.00000020489097","","<p>T</p>","detection","1","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","36","124405","0.0-1.0-7.0-2.0-0.11","null","","<p>R</p>","detection","1","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","37","125915","0.0-1.0-7.0-2.0-0.12","null","","<p>R</p>","detection","1","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","38","127426","0.0-1.0-7.0-2.0-0.13","null","","<p>R</p>","detection","1","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","39","128941","0.0-1.0-7.0-2.0-0.14","null","","<p>E</p>","detection","1","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","40","158947","0.0-1.0-7.0-3.0","null","","<p style='font-size:25px'>Great job! You earned 1 point(s) from this task.</p> </p><p style='font-size:25px'>Press the space bar to continue. </p>","debrief","","","null","","","","","","","","","","",""
"","html-slider-response","41","172979","0.0-1.0-8.0-0.0","14028.739999979734","64","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","BDM","2","0","","","","","","","","","","","",""
"","html-keyboard-response","42","183546","0.0-1.0-9.0-0.0","10558.939999900758","","<p style='font-size':25px> You want <strong> 3.56 </strong> points. </p> <p style='font-size':25px> The computer offers <strong>1.08</strong> points. </p><p style='font-size':25px> You will do the following task instead to earn 1 point. </p> <img src=""./static/img/fractal1.jpg"" width=""250"" height=""250"" location='center'></img><p style='font-size':25 px> Press the space bar to continue. </p>","","","","32","","","","","","","","","","",""
"","html-keyboard-response","43","183654","0.0-1.0-11.0-0.0","null","","+","","","","null","","","","","","","","","","",""
"","html-keyboard-response","44","191011","0.0-1.0-11.0-1.0-0.0","7356.1399998143315","","<p>In this task, you will need to press <strong>H</strong> every time you see the target letter <strong>T</strong>. </p><p>You must respond while the letter is on screen or your answer will not count.</p><p> Pay attention! If you are not at least 85% accurate, you will not earn points for completing this task.</p> <p>Press space to begin.</p>","instructions","","","32","","","","","","","","","","",""
"","html-keyboard-response","45","192523","0.0-1.0-11.0-2.0-0.0","null","","<p>R</p>","detection","2","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","46","194039","0.0-1.0-11.0-2.0-0.1","null","","<p>R</p>","detection","2","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","47","195545","0.0-1.0-11.0-2.0-0.2","null","","<p>X</p>","detection","2","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","48","197054","0.0-1.0-11.0-2.0-0.3","null","","<p>X</p>","detection","2","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","49","198569","0.0-1.0-11.0-2.0-0.4","null","","<p>R</p>","detection","2","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","50","200079","0.0-1.0-11.0-2.0-0.5","null","","<p>X</p>","detection","2","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","51","201591","0.0-1.0-11.0-2.0-0.6","356.6049998626113","","<p>T</p>","detection","2","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","52","203102","0.0-1.0-11.0-2.0-0.7","null","","<p>E</p>","detection","2","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","53","204619","0.0-1.0-11.0-2.0-0.8","407.3950001038611","","<p>T</p>","detection","2","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","54","206134","0.0-1.0-11.0-2.0-0.9","null","","<p>X</p>","detection","2","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","55","207637","0.0-1.0-11.0-2.0-0.10","null","","<p>R</p>","detection","2","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","56","209143","0.0-1.0-11.0-2.0-0.11","null","","<p>E</p>","detection","2","","null","","90","false","","0","","","","","",""
