"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","detect","correct_key","tasknum","training_performance","nback","n","practice","practice_accuracy","response","slider_start","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"true","fullscreen","0","209256","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","254686","0.0-1.0-0.0-0.0","45424.75000000559","<p>In this experiment, you'll complete up to 12 short rounds of two tasks.</p><p>If you are 85% correct or better during one round of a task, then you pass that round and earn bonus points for it. If you are less than 85% correct, you will not earn any points for that round.</p><p>You can earn 1 to 5 points each round.</p><p>Keep in mind that you should be about 85% accurate for up to 12 rounds.</p><p>At the end of the experiment, the points you earned will be added up and turned into a bonus payment. $$ The more points you earn, the more money you will be paid. $$</p><p>If we can tell that you are not paying attention, then this experiment will end early and you will earn a smaller payment. $$</p><p>Press space to practice the first task.</p>","32","instructions","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","261464","0.0-1.0-1.0-0.0-0.0","6776.819999999134","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","280929","0.0-1.0-1.0-1.0-0.0","19462.480000016512","<p>In this task, you will need to press <strong>K</strong> every time you see the target letter <strong>T</strong>. </p><p>You must respond while the letter is on screen or your answer will not count.</p><p> Pay attention! If you are not at least 85% accurate, you will not earn points for completing this round.</p> <p>Press space to begin.</p>","32","instructions","","","","","","","","","","","","","","","","","",""
"","categorize-html","4","282437","0.0-1.0-1.0-2.0-0.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","5","283204","0.0-1.0-1.0-2.0-1.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","6","284718","0.0-1.0-1.0-2.0-2.0","null","<p>R</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","7","285471","0.0-1.0-1.0-2.0-3.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","8","286995","0.0-1.0-1.0-2.0-4.0","null","<p>E</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","9","287749","0.0-1.0-1.0-2.0-5.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
