"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","detect","correct_key","tasknum","practice_accuracy","practice","nback","n","number_practice_combines","response","BDMquizgrade","slider_start","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"true","fullscreen","0","5012","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","5984","0.0-1.0-0.0-0.0","967.0049999840558","<p>In this experiment, you'll complete up to 12 short rounds of two tasks.</p><p>If you are 80% correct or better during one round of a task, then you pass that round and earn bonus points for it. If you are less than 80% correct, you will not earn any points for that round.</p><p>You can earn 1 to 5 points each round.</p><p>Keep in mind that you should be about 80% accurate for up to 12 rounds.</p><p>At the end of the experiment, the points you earned will be added up and turned into a bonus payment. $$ The more points you earn, the more money you will be paid. $$</p><p>If we can tell that you are not paying attention, then this experiment will end early and you will earn a smaller payment. $$</p><p>[Press space to practice the first task.]</p>","32","instructions","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","6897","0.0-1.0-1.0-0.0-0.0","910.4450000450015","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","14835","0.0-1.0-1.0-1.0-0.0","7936.109999893233","<p>In this task, you will need to press <strong>K</strong> every time you see the target letter <strong>T</strong>. </p><p>You must respond while the letter is on screen or your answer will not count.</p><p> Pay attention! If you are not at least 80% accurate, you will not earn points for completing this round.</p> <p>Press space to begin.</p>","32","instructions","","","","","","","","","","","","","","","","","","",""
"","categorize-html","4","16341","0.0-1.0-1.0-2.0-0.0","null","<p>E</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","17109","0.0-1.0-1.0-2.0-1.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","","",""
"","categorize-html","6","18622","0.0-1.0-1.0-2.0-2.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","19381","0.0-1.0-1.0-2.0-3.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","","",""
"","categorize-html","8","20904","0.0-1.0-1.0-2.0-4.0","null","<p>T</p>","null","detection","false","true","75","-1","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","21668","0.0-1.0-1.0-2.0-5.0","null","Press <strong>K</strong> when you see a T.","null","feedback","","","","","","","","","","","","","","","","","","",""
"","categorize-html","10","23186","0.0-1.0-1.0-2.0-6.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","23940","0.0-1.0-1.0-2.0-7.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","","",""
"","categorize-html","12","25451","0.0-1.0-1.0-2.0-8.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","26211","0.0-1.0-1.0-2.0-9.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","","",""
"","categorize-html","14","27732","0.0-1.0-1.0-2.0-10.0","null","<p>E</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","28487","0.0-1.0-1.0-2.0-11.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","","",""
"","categorize-html","16","29996","0.0-1.0-1.0-2.0-12.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","30763","0.0-1.0-1.0-2.0-13.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","","",""
"","categorize-html","18","32271","0.0-1.0-1.0-2.0-14.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","33029","0.0-1.0-1.0-2.0-15.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","","",""
"","categorize-html","20","34537","0.0-1.0-1.0-2.0-16.0","null","<p>T</p>","null","detection","false","true","75","-1","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","35297","0.0-1.0-1.0-2.0-17.0","null","Press <strong>K</strong> when you see a T.","null","feedback","","","","","","","","","","","","","","","","","","",""
"","categorize-html","22","36812","0.0-1.0-1.0-2.0-18.0","null","<p>R</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","37575","0.0-1.0-1.0-2.0-19.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","52574","0.0-1.0-1.0-3.0","14993.729999987409","<p>Your accuracy was <strong>50.00%</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","50.00","true","","","","","","","","","","","","",""
"","html-keyboard-response","25","53785","0.0-1.0-2.0-0.0-0.0","1208.8699999731034","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","54951","0.0-1.0-2.0-1.0-0.0","1163.4349999949336","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>1</strong> letters ago.</p> <p>If the letter on screen was not the one you saw <strong>1</strong> letters ago, do not press anything.</p><p>Pay attention! If you are not at least 80% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/1-back.png><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","27","55065","0.0-1.0-2.0-2.0-0.0","112.02000011689961","<p>R</p>","32","n-back","false","","90","-1","","true","false","1","","","","","","","","","","",""
"","html-keyboard-response","28","55823","0.0-1.0-2.0-2.0-1.0","null","Please press H.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","29","57327","0.0-1.0-2.0-2.0-2.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","","",""
"","html-keyboard-response","30","58086","0.0-1.0-2.0-2.0-3.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","31","59595","0.0-1.0-2.0-2.0-4.0","null","<p>X</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","","",""
"","html-keyboard-response","32","60360","0.0-1.0-2.0-2.0-5.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","33","61866","0.0-1.0-2.0-2.0-6.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","","",""
"","html-keyboard-response","34","62623","0.0-1.0-2.0-2.0-7.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","35","64141","0.0-1.0-2.0-2.0-8.0","null","<p>E</p>","null","n-back","false","","72","-1","","true","true","1","","","","","","","","","","",""
"","html-keyboard-response","36","64893","0.0-1.0-2.0-2.0-9.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","37","66400","0.0-1.0-2.0-2.0-10.0","null","<p>E</p>","null","n-back","false","","72","-1","","true","true","1","","","","","","","","","","",""
"","html-keyboard-response","38","67154","0.0-1.0-2.0-2.0-11.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","39","68672","0.0-1.0-2.0-2.0-12.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","","",""
"","html-keyboard-response","40","69425","0.0-1.0-2.0-2.0-13.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","41","70940","0.0-1.0-2.0-2.0-14.0","null","<p>R</p>","null","n-back","false","","72","-1","","true","true","1","","","","","","","","","","",""
"","html-keyboard-response","42","71701","0.0-1.0-2.0-2.0-15.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","43","73219","0.0-1.0-2.0-2.0-16.0","null","<p>R</p>","null","n-back","false","","72","-1","","true","true","1","","","","","","","","","","",""
"","html-keyboard-response","44","73981","0.0-1.0-2.0-2.0-17.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","45","75488","0.0-1.0-2.0-2.0-18.0","null","<p>X</p>","null","n-back","false","","90","-1","","true","false","1","","","","","","","","","","",""
"","html-keyboard-response","46","76248","0.0-1.0-2.0-2.0-19.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","html-keyboard-response","47","89503","0.0-1.0-2.0-3.0","13252.480000024661","<p>Your accuracy was <strong>50.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","","","","","50.00","true","","","","","","","","","","","","",""
"","html-keyboard-response","48","94286","0.0-1.0-3.0-0.0-0.0","4780.274999793619","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","96877","0.0-1.0-3.0-1.0-0.0","2589.2300000414252","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>2</strong> letters ago.</p> <p>If the letter on screen was not the one you saw <strong>2</strong> letters ago, do not press anything.</p><p>Pay attention! If you are not at least 80% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/2-back.png><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","50","98391","0.0-1.0-3.0-2.0-0.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","","",""
"","html-keyboard-response","51","99147","0.0-1.0-3.0-2.0-1.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","52","100657","0.0-1.0-3.0-2.0-2.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","","",""
"","html-keyboard-response","53","101411","0.0-1.0-3.0-2.0-3.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","54","102920","0.0-1.0-3.0-2.0-4.0","null","<p>E</p>","null","n-back","false","","72","-1","","true","true","2","","","","","","","","","","",""
"","html-keyboard-response","55","103680","0.0-1.0-3.0-2.0-5.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","56","105202","0.0-1.0-3.0-2.0-6.0","null","<p>X</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","","",""
"","html-keyboard-response","57","105956","0.0-1.0-3.0-2.0-7.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","58","107477","0.0-1.0-3.0-2.0-8.0","null","<p>E</p>","null","n-back","false","","72","-1","","true","true","2","","","","","","","","","","",""
"","html-keyboard-response","59","108240","0.0-1.0-3.0-2.0-9.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","60","109760","0.0-1.0-3.0-2.0-10.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","","",""
"","html-keyboard-response","61","110521","0.0-1.0-3.0-2.0-11.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","62","112045","0.0-1.0-3.0-2.0-12.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","","",""
"","html-keyboard-response","63","112804","0.0-1.0-3.0-2.0-13.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","64","114324","0.0-1.0-3.0-2.0-14.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","","",""
"","html-keyboard-response","65","115085","0.0-1.0-3.0-2.0-15.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","66","116606","0.0-1.0-3.0-2.0-16.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","","",""
"","html-keyboard-response","67","117371","0.0-1.0-3.0-2.0-17.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","68","118878","0.0-1.0-3.0-2.0-18.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","","",""
"","html-keyboard-response","69","119630","0.0-1.0-3.0-2.0-19.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","html-keyboard-response","70","122602","0.0-1.0-3.0-3.0","2969.2700000014156","<p>Your accuracy was <strong>80.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","","","","","80.00","true","","","","","","","","","","","","",""
"","html-keyboard-response","71","124133","0.0-1.0-4.0-0.0-0.0","1529.2950000148267","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","72","130631","0.0-1.0-4.0-1.0-0.0","6497.415000107139","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>3</strong> letters ago.</p> <p>If the letter on screen was not the one you saw <strong>3</strong> letters ago, do not press anything.</p><p>Pay attention! If you are not at least 80% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/3-back.png><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","73","132149","0.0-1.0-4.0-2.0-0.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","","",""
"","html-keyboard-response","74","132904","0.0-1.0-4.0-2.0-1.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","75","134415","0.0-1.0-4.0-2.0-2.0","null","<p>X</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","","",""
"","html-keyboard-response","76","135168","0.0-1.0-4.0-2.0-3.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","77","136687","0.0-1.0-4.0-2.0-4.0","null","<p>X</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","","",""
"","html-keyboard-response","78","137440","0.0-1.0-4.0-2.0-5.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","79","137791","0.0-1.0-4.0-2.0-6.0","346.99500002898276","<p>R</p>","72","n-back","true","","72","-1","","true","true","3","","","","","","","","","","",""
"","html-keyboard-response","80","138546","0.0-1.0-4.0-2.0-7.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","81","140055","0.0-1.0-4.0-2.0-8.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","","",""
"","html-keyboard-response","82","140811","0.0-1.0-4.0-2.0-9.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","83","142321","0.0-1.0-4.0-2.0-10.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","","",""
"","html-keyboard-response","84","143077","0.0-1.0-4.0-2.0-11.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","85","144012","0.0-1.0-4.0-2.0-12.0","931.3750001601875","<p>R</p>","72","n-back","true","","72","-1","","true","true","3","","","","","","","","","","",""
"","html-keyboard-response","86","144769","0.0-1.0-4.0-2.0-13.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","87","146273","0.0-1.0-4.0-2.0-14.0","null","<p>R</p>","null","n-back","false","","72","-1","","true","true","3","","","","","","","","","","",""
"","html-keyboard-response","88","147026","0.0-1.0-4.0-2.0-15.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","89","147641","0.0-1.0-4.0-2.0-16.0","611.2799998372793","<p>X</p>","72","n-back","false","","90","-1","","true","false","3","","","","","","","","","","",""
"","html-keyboard-response","90","148395","0.0-1.0-4.0-2.0-17.0","null","Not a match! Press nothing.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","91","149168","0.0-1.0-4.0-2.0-18.0","769.6750001050532","<p>R</p>","72","n-back","true","","72","-1","","true","true","3","","","","","","","","","","",""
"","html-keyboard-response","92","149925","0.0-1.0-4.0-2.0-19.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","html-keyboard-response","93","151146","0.0-1.0-4.0-3.0","1219.9099999852479","<p>Your accuracy was <strong>80.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","","","","","80.00","true","","","","","","","","","","","","",""
"","html-keyboard-response","94","152849","0.0-1.0-5.0-0.0","1700.8650000207126","<p>Good job! You have reached 80% accuracy on this practice task. We will now move on.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","100.00","","","","","","","","","","","","","",""
"","html-keyboard-response","95","154332","0.0-1.0-7.0-0.0-0.0-0.0","1480.9100001584738","<img src=""./static/img/fractal1.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","",""
